Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%),Raw Asset Class,Simplified Asset Class
ORR,Militia Long/Short Equity ETF,,"$49,063,300",,,$26.08,-0.87%,No,False,-6.61%,-5.46%,,,,"$51,854,322.63","$3,813,210.00","$16,559,004.00","$51,854,322.63","$51,854,322.63","$51,854,322.63",,2025-01-15,18.48%,,$0.00,,,0.00%,,,112.0,81.21%,40%,20%,1099,$26.47,$29.08,$25.70,$26.60,36.36,,,,,,,0.0,,,,,,,Equity
EHLS,Even Herd Long Short ETF,,"$46,347,900",-12.35%,"4,365",$19.29,0.31%,No,False,-4.95%,-4.14%,-4.68%,,,"$439,296.00","-$192,315.00","$10,823.00","$3,046,443.00","$48,877,187.00","$48,877,187.00",,2024-04-01,1.58%,,$0.23,2024-12-17,$0.23,1.18%,,,171.0,63.44%,40%,20%,1099,$19.17,$20.99,$19.07,$19.64,37.26,C+,C,,,C+,,0.0,,,,,,,Other
ARP,PMV Adaptive Risk Parity ETF,,"$38,019,300",-2.33%,"12,527",$26.55,-0.34%,No,False,-4.10%,-3.35%,2.87%,,,"$11,237,977.23","$1,609,514.81","$6,285,070.88","$15,967,392.45","$37,082,279.82","$37,082,279.82",,2022-12-21,1.47%,,$1.44,2024-12-30,$1.44,5.41%,0.08,0.22,9.0,100.00%,40%,20%,1099,$26.76,$28.04,$26.43,$26.71,31.24,B-,C,B,B+,A-,,0.0,,,,,,,Other
CBLS,Hedged Equity ETF,Alternatives,"$37,748,000",,,$24.37,-0.57%,No,False,-6.93%,-6.74%,,,,"-$1,788,839.00",$0.00,"-$2,893,353.00","$27,454,334.00","$31,976,678.00","$37,948,939.00",Long-Short,2020-11-13,1.90%,,$0.19,2024-12-24,$0.19,0.78%,0.04,0.52,32.0,85.68%,40%,20%,1099,$24.65,$27.40,$24.25,$24.60,28.13,,C,,,C,,0.0,,,,,,Alternatives,Other
TOAK,Twin Oak Short Horizon Absolute Return ETF,,"$36,906,300",1.30%,"17,553",$27.58,0.00%,No,False,0.16%,0.42%,,,,"$25,736,460.00","-$4,954,248.00",-$288.00,"$36,464,240.19","$36,464,240.19","$36,464,240.19",,2024-08-20,0.25%,,$0.00,,,0.00%,,,2.0,100.00%,40%,20%,1099,$27.46,$27.59,,,87.69,,,,,,,0.0,,,,,,,Other
FFLS,Future Fund Long/Short ETF,,"$36,024,000",-0.87%,"5,934",$22.82,0.26%,No,False,-2.14%,-4.40%,5.14%,,,"$2,329,200.00","$1,368,000.00","$1,848,000.00","$33,958,000.00","$35,515,000.00","$35,515,000.00",,2023-06-20,1.24%,,$0.77,2024-12-26,$0.77,3.38%,,,31.0,108.96%,40%,20%,1099,$22.73,$24.41,$22.65,$23.02,35.5,B+,C,B+,B,C,,6.67,86.08%,58.97%,33.09,5.74%,8.94%,,Other
MARB,First Trust Merger Arbitrage ETF,Alternatives,"$33,578,400",-1.06%,"17,103",$19.67,-0.35%,No,False,-1.75%,-1.35%,1.88%,1.23%,1.44%,"$5,962,350.00",$0.00,"$4,971,900.00","-$11,772,700.00","$24,488,126.00","$32,225,818.50",Long-Short,2020-02-04,1.74%,,$0.42,2024-12-13,$0.19,2.14%,0.07,0.07,28.0,68.25%,40%,20%,1099,$19.74,$20.00,$19.62,$19.78,39.62,B-,C,,A+,C,,6.93,71.79%,70.02%,85.53,7.82%,1.71%,Alternatives,Other
TPMN,Timothy Plan Market Neutral ETF,,"$33,495,100",1.59%,"10,866",$23.98,-0.12%,No,False,-0.38%,1.31%,6.31%,,,"-$9,000,340.21",$0.00,$0.00,"-$8,066,624.22","$32,479,088.78","$32,479,088.78",,2023-01-24,0.65%,,$0.99,2025-03-10,$0.09,4.09%,0.12,0.19,294.0,20.16%,40%,20%,1099,$23.79,$24.13,$23.91,$24.05,57.7,B,B,C+,A-,A,,6.66,0.00%,58.11%,505.36,8.63%,6.04%,,Other
LBAY,Leatherback Long/Short Alternative Yield ETF,Alternatives,"$31,339,700",-2.33%,"6,274",$23.42,-1.01%,No,False,-8.78%,-8.73%,-9.87%,-2.64%,,"-$3,053,632.50",$0.00,"$609,685.00","-$8,154,257.50","$4,389,842.50","$40,407,917.50",Long-Short,2020-11-16,1.27%,,$0.91,2025-03-25,$0.08,3.86%,0.06,0.47,39.0,48.26%,40%,20%,1099,$23.91,$26.43,$23.11,$23.84,34.63,C+,C+,,B-,A,,6.68,87.34%,59.24%,165.91,4.97%,1.89%,Alternatives,Other
BSR,Beacon Selective Risk ETF,,"$28,980,400",-5.58%,248,$27.29,-0.76%,No,False,-4.99%,-5.68%,0.52%,,,"-$13,000.00",$0.00,$0.00,"$286,500.00","$26,916,400.00","$26,916,400.00",Energy Equities,2023-04-17,1.00%,,$0.26,2024-12-27,$0.26,0.95%,,,6.0,100.00%,40%,20%,1099,$27.67,$29.20,$27.29,$27.29,28.81,,C,,,,,6.14,34.39%,39.25%,252.89,13.63%,4.37%,,Other
HFND,Unlimited HFND Multi-Strategy Return Tracker ETF,,"$26,221,700",-10.05%,"13,518",$19.56,-1.41%,No,False,-8.66%,-10.42%,-6.59%,,,"-$2,992,000.00","-$4,695,000.00","-$4,162,500.00","-$9,553,500.00","$26,750,480.00","$26,750,480.00",,2022-10-10,1.07%,,$0.80,2024-12-24,$0.80,4.06%,0.0,0.46,29.0,79.64%,40%,20%,1099,$20.03,$22.49,,,22.74,B,C,C,B+,B+,,5.66,12.15%,29.98%,197.54,6.87%,3.41%,,Other
HDG,ProShares Hedge Replication ETF,Alternatives,"$23,185,100",-5.28%,"1,508",$46.49,-0.51%,No,False,-4.64%,-5.54%,-2.28%,0.76%,3.25%,"-$1,993,110.00",$0.00,$0.00,"-$3,990,864.00","-$22,635,212.00","-$6,281,975.00",Long-Short,2011-07-12,0.95%,,$1.67,2025-03-26,$0.30,3.56%,0.0,0.35,1949.0,87.91%,40%,20%,1099,$47.00,$50.29,$46.22,$47.03,21.59,B+,B,B-,A-,B-,C,0.0,,,,,,Alternatives,Other
LSEQ,Harbor Long-Short Equity ETF,,"$19,304,900",6.17%,"3,461",$28.74,0.00%,No,False,-0.32%,1.82%,6.38%,,,"$14,000.00",$0.00,$0.00,"$3,633,000.00","$13,161,000.00","$13,161,000.00",,2023-12-04,1.70%,,$0.00,,,0.00%,,,121.0,67.74%,40%,20%,1099,$27.97,$29.20,,,53.07,B-,,,B-,C,,0.0,,,,,,,Equity
HF,DGA Core Plus Absolute Return ETF,,"$19,268,700",0.74%,"2,406",$20.53,0.24%,No,False,1.41%,1.56%,3.31%,,,"-$1,020,630.00",$0.00,"-$503,445.00","$2,751,677.50","$18,954,195.91","$18,954,195.91",,2023-08-02,1.63%,,$2.28,2024-12-23,$2.28,11.10%,,,12.0,99.83%,40%,20%,1099,$19.95,$20.51,$20.38,$20.61,60.77,C,C,A-,B+,B+,,6.4,0.00%,47.49%,128.84,8.27%,3.31%,,Other
RINF,ProShares Inflation Expectations ETF,Alternatives,"$18,515,500",-1.32%,"10,529",$32.26,0.94%,No,False,-0.38%,-0.79%,2.74%,3.54%,10.06%,"-$3,757,972.00","-$4,745,196.00","-$4,745,196.00","-$1,442,687.00","-$21,467,281.00","$8,348,032.58",Inflation-Protected Bonds,2012-01-10,0.30%,,$1.47,2025-03-26,$0.24,4.60%,0.0,0.39,2.0,100.00%,40%,20%,1099,$31.87,$32.96,$32.12,$32.40,45.55,B,C+,C,C,A-,B,0.0,,,,,,Alternatives,Other
FORH,Formidable ETF,Alternatives,"$18,361,300",-7.43%,"1,889",$19.52,-1.61%,No,False,-7.64%,-6.75%,-17.38%,-6.84%,,"-$1,578,250.00",$0.00,"-$1,061,500.00","-$6,039,750.00","-$2,247,282.50","$23,557,365.00",Hedge Fund,2021-04-28,1.19%,,$0.00,2023-12-26,$0.87,0.00%,0.0,0.53,38.0,49.17%,40%,20%,1099,$19.75,$21.88,$19.32,$19.72,29.6,C,C,,B-,C,,6.57,64.27%,54.52%,157.31,3.34%,5.01%,Alternatives,Other
ZVOL,Volatility Premium Plus ETF,,"$17,421,600",-24.75%,"34,926",$13.15,-4.22%,No,False,-16.61%,-17.17%,-21.30%,,,"$1,436,297.00","$1,363,108.00","$1,835,470.00","$21,557,298.00","$25,577,884.00","$25,577,884.00",,2023-04-19,1.42%,,$5.82,2025-03-27,$0.48,44.26%,,,3.0,100.00%,28%,28%,1099,$13.48,$17.73,,,29.42,,,,,,,0.0,,,,,,,Other
RSBA,Return Stacked Bonds & Merger Arbitrage ETF,,"$16,971,300",1.57%,"17,218",$20.33,-0.54%,No,False,-1.79%,-0.44%,,,,"$8,075,550.00","-$2,055,260.00","$1,014,527.50","$16,566,372.50","$16,566,372.50","$16,566,372.50",,2024-12-17,0.97%,,$0.00,2024-12-31,$0.00,0.01%,,,6.0,100.00%,40%,20%,1099,$20.30,$20.80,$20.25,$20.49,45.76,,,,,,,5.38,4.04%,26.02%,1316.72,2.24%,2.39%,,Bond
ISMF,iShares Managed Futures Active ETF,,"$16,546,600",,,,0.00%,No,False,,,,,,"$2,009,828.00",$0.00,"$2,009,828.00","$2,009,828.00","$2,009,828.00","$2,009,828.00",,2025-03-12,0.80%,,,,,,,,1.0,100.00%,40%,20%,1099,,,,,,,,,,,,0.0,,,,,,,Other
ASMF,Virtus Alphasimplex Managed Futures ETF,,"$13,645,700",-7.74%,"6,381",$21.92,-0.68%,No,False,-5.19%,-5.64%,,,,"$3,072,500.00","-$545,825.00","-$545,825.00","$10,518,300.00","$10,518,300.00","$10,518,300.00",,2024-05-15,0.80%,,$0.40,2024-12-20,$0.40,1.81%,,,2.0,100.00%,40%,20%,1099,$22.14,$23.80,,,24.29,,B-,,,C+,,0.0,,,,,,,Other
EGGY,NestYield Dynamic Income ETF,,"$12,427,800",-16.00%,"7,558",$30.74,-1.16%,No,False,-8.37%,-11.11%,,,,"$6,258,980.00","$775,082.50","$1,646,995.00","$6,258,980.00","$6,258,980.00","$6,258,980.00",,2024-12-26,0.89%,,$2.50,2025-03-28,$0.73,8.06%,,,20.0,64.44%,40%,20%,1099,$31.19,$35.84,$30.06,$32.01,30.69,,,,,,,6.44,77.26%,49.39%,7.06,0.27%,8.91%,,Bond
EGGS,NestYield Total Return Guard ETF,,"$11,882,300",-15.65%,"4,697",$31.43,-0.98%,No,False,-7.37%,-10.06%,,,,"$3,539,392.50",$0.00,"$1,678,910.00","$3,539,392.50","$3,539,392.50","$3,539,392.50",,2024-12-26,0.89%,,$1.39,2025-03-28,$0.39,4.37%,,,20.0,62.56%,40%,20%,1099,$31.83,$36.13,$30.88,$32.48,31.87,,,,,,,0.0,,,,,,,Other
FARX,Frontier Asset Absolute Return ETF,,"$10,948,500",-2.86%,"3,165",$24.34,0.04%,No,False,-3.95%,-3.67%,,,,"-$509,800.00","$253,200.00","$253,200.00","$11,329,400.00","$11,329,400.00","$11,329,400.00",,2024-12-19,1.00%,,$0.14,2025-03-28,$0.09,0.56%,,,13.0,95.26%,40%,20%,1099,$24.51,$25.81,$24.27,$24.44,26.88,,,,,,,0.0,,,,,,,Other
MRGR,Proshares Merger ETF,Alternatives,"$10,289,200",3.03%,"1,255",$41.11,0.24%,No,False,-1.41%,-1.73%,7.76%,2.90%,3.97%,"-$1,044,510.00",$0.00,"-$1,044,510.00","$6,387.50","-$57,309,977.50","$3,981,052.45",Hedge Fund,2012-12-11,0.75%,,$2.35,2025-03-26,$0.13,5.72%,0.06,0.08,25.0,61.72%,40%,20%,1099,$41.19,$42.09,$41.11,$41.11,35.41,B-,B,A-,A,B,A,6.49,43.59%,51.43%,250.64,10.02%,3.43%,Alternatives,Other
CLIX,ProShares Long Online/Short Stores ETF,Alternatives,"$7,337,790",-9.76%,"1,500",$41.22,-1.62%,No,False,-10.80%,-13.26%,-0.20%,-3.00%,-5.94%,"-$991,344.00",$0.00,$0.00,"-$3,972,849.00","-$17,688,979.00","-$69,838,760.50",Long-Short,2017-11-14,0.65%,,$0.15,2025-03-26,$0.09,0.36%,0.04,0.74,20.0,76.69%,40%,20%,1099,$42.13,$50.28,$40.32,$42.81,27.93,A,A-,A+,C,B-,,5.12,1.27%,22.70%,22.47,16.25%,0.27%,Alternatives,Other
EQLS,Simplify Market Neutral Equity Long/Short ETF,,"$4,897,370",4.87%,"3,429",$21.92,1.25%,No,False,2.48%,7.30%,-5.47%,,,"-$4,301,950.00",$0.00,"-$1,601,400.00","-$142,041,675.00","$17,685,825.00","$17,685,825.00",,2023-06-13,1.00%,,$0.30,2025-03-26,$0.10,1.38%,,,5.0,100.00%,40%,20%,1099,$20.39,$22.10,,,56.24,B,C,C,B+,A,,0.0,,,,,,,Equity
EVNT,AltShares Event-Driven ETF,Alternatives,"$4,812,030",-2.30%,890,$10.39,-0.76%,No,False,-4.71%,-4.04%,5.04%,2.87%,,"-$3,289.91",$277.00,-$298.03,$844.58,"$1,702,735.34","$1,309,541.35",Long-Short,2021-09-20,1.31%,,$0.07,2024-12-18,$0.07,0.68%,0.06,0.32,58.0,44.93%,40%,20%,1099,$10.49,$11.13,$10.39,$10.39,28.77,,B-,,,B-,,6.41,49.37%,48.00%,201.3,7.59%,1.03%,Alternatives,Other
RATE,Global X Interest Rate Hedge ETF,Alternatives,"$2,622,200",-3.96%,"2,494",$19.07,0.10%,No,False,1.47%,-2.85%,-1.30%,,,"$768,807.01",-$101.55,-$688.51,"$768,690.46","$3,101,007.12","$3,101,007.12",Hedge Fund,2022-07-05,0.50%,,$0.83,2025-04-01,$0.02,4.46%,0.0,2.19,4.0,100.00%,40%,20%,1099,$18.39,$19.99,,,46.61,C+,B+,A-,C,A,,5.86,75.38%,33.72%,0.0,0.00%,0.00%,Alternatives,Other
